1995  123.336  113.33  10.006
1996  117.365  121.826  -4.461
1997  112.609  139.535  -26.926
1998  118.308  139.633  -21.325
1999  122.449  129.464  -7.015
2000  123.154  124.012  -0.858
2001  125.324  114.857  10.467
2002  123.066  114.381  8.685
2003  116.141  115.664  0.477
2004  115.267  113.581  1.686
2005  117.082  106.881  10.201
2006  118.893  108.214  10.679
2007  126.947  114.951  11.996
2008  132.644  117.334  15.31
2009  143.852  133.335  10.517
2010  147.769  130.951  16.818
2011  158.864  119.443  39.421
